code,Business,address,Address2,City,state,Zip,Time Zone,Integer,float
WBIS1,Taxi 9000,3750 East Rosser Avenue,,Bismarck,ND,58501,Central Standard Time,3,0.5
WBNA1,UPS Supply Chain Solutions,516 Ligon Drive,,Nashville,TN,37204,Central Standard Time,4,1.333333333
Kelly Transportation,41 N Sprigg Street,,Cape Girardeau,MO,63701,Central Standard Time,1,0.2
Velocity Express,640 63rd Avenue SW,,Cedar Rapids,IA,52404,Central Standard Time,4,1
UPS Supply Chain Solutions,55 Andrews Circle,,Brecksville,OH,44141,Eastern Standard Time,5,1
UPS Supply Chain Solutions,802 W Garden of the Gods Road,,Colorado Springs,CO,80907,Mountain Standard Time,8,2
















WSMF1,UPS Supply Chain Solutions,4512 Harlin Drive,,Sacramento,CA,95826,Pacific Standard Time,5,1.25
WTPA1,UPS Supply Chain Solutions,205 Kelsey Lane,Suite D,Tampa,FL,33619,Eastern Standard Time,9,2.25
WTUS1,Global Services,1668 South Research Loop,Suite 332,Tucson,AZ,85710,Pacific Standard Time,3,1
WTVC1,Diamond Rental and Leasing,3020 Cass Road,,Traverse City,MI,49684,Eastern Standard Time,4,1
